chr	start	stop	pop
1	10583	1892607	EUR
1	1961168	3582736	EUR
1	3666172	4380811	EUR
1	4320751	5913893	EUR
1	5853833	7247335	EUR
1	7187275	9365199	EUR
1	9305140	10806984	EUR
1	10746927	11777841	EUR
1	11717784	12779466	EUR
1	12719464	14891511	EUR
1	14565015	16897730	EUR
1	16571235	18662899	EUR
1	18336405	20469149	EUR
1	20142656	21736588	EUR
1	21410095	23086883	EUR
1	22760390	23920590	EUR
1	23594100	25516845	EUR
1	25190354	27401867	EUR
1	27075376	30161881	EUR
1	29689034	32438685	EUR
1	31973084	34799758	EUR
1	34334157	37549183	EUR
1	37083582	38731847	EUR
1	38266175	40200567	EUR
1	39734895	41975327	EUR
1	41509656	43758457	EUR
1	43292786	44969183	EUR
1	44503511	46899501	EUR
1	46433829	48002576	EUR
1	47536904	48978188	EUR
1	48512516	49894177	EUR
1	49428505	51713726	EUR
1	51248054	54226262	EUR
1	53760589	56413117	EUR
1	55947444	57021728	EUR
1	56556055	58865399	EUR
1	58399727	59890409	EUR
1	59424737	61922365	EUR
1	61456693	63455089	EUR
1	62989418	65041704	EUR
1	64576021	66939404	EUR
1	66473721	68477895	EUR
1	68012212	69687616	EUR
1	69221933	71372470	EUR
1	70906787	71684405	EUR
1	71218722	74326907	EUR
1	73861224	76728135	EUR
1	76262450	79661198	EUR
1	79195513	81354191	EUR
1	80888506	83991748	EUR
1	83526065	84844495	EUR
1	84378812	86454751	EUR
1	85989068	88128631	EUR
1	87662948	90066303	EUR
1	89600744	91886317	EUR
1	91420760	93536459	EUR
1	93070902	94506191	EUR
1	94040635	96150893	EUR
1	95685337	97885249	EUR
1	97419693	99800604	EUR
1	99335048	100826405	EUR
1	100360849	102041016	EUR
1	101575460	102898745	EUR
1	102433189	103914211	EUR
1	103371589	106087842	EUR
1	105545220	108409665	EUR
1	107867043	110303931	EUR
1	109761309	111741737	EUR
1	111199115	113273306	EUR
1	112730684	114873845	EUR
1	114331223	115880593	EUR
1	115337972	118839067	EUR
1	118296444	144977494	EUR
1	148907004	148361253	EUR
1	151566405	153180829	EUR
1	153208353	154770403	EUR
1	154797927	156336133	EUR
1	156366342	158027412	EUR
1	158057622	159913048	EUR
1	159943258	162346721	EUR
1	162376931	165191702	EUR
1	165222465	166460517	EUR
1	166491280	169086324	EUR
1	169117086	170557776	EUR
1	170588635	173097907	EUR
1	173128768	175089768	EUR
1	175120632	177433381	EUR
1	177464245	178944309	EUR
1	178975174	178954470	EUR
1	178985335	181144121	EUR
1	181174985	182755356	EUR
1	182786221	184595513	EUR
1	184626379	186810023	EUR
1	186840891	188759945	EUR
1	188790814	189904130	EUR
1	189935000	191868930	EUR
1	191899800	194107442	EUR
1	194138312	196176201	EUR
1	196207071	197311514	EUR
1	197342384	199239884	EUR
1	199270756	200137649	EUR
1	200168521	201589975	EUR
1	201620847	203334734	EUR
1	203365606	204681068	EUR
1	204711940	206073265	EUR
1	206268085	208410364	EUR
1	208237019	210787750	EUR
1	210614406	212842330	EUR
1	212668988	214578266	EUR
1	214404923	216243634	EUR
1	216070292	218705513	EUR
1	218532171	219590571	EUR
1	219417229	221858231	EUR
1	221684889	222230220	EUR
1	222056878	224938520	EUR
1	224750818	226810860	EUR
1	226623159	229156248	EUR
1	229020501	230685255	EUR
1	230549509	232090252	EUR
1	231954506	233429284	EUR
1	233293538	234599434	EUR
1	234463688	235819436	EUR
1	235656136	237555628	EUR
1	237392328	238567807	EUR
1	238404507	239925314	EUR
1	239762014	240564091	EUR
1	240400791	241582220	EUR
1	241418920	242071602	EUR
1	241908300	244109499	EUR
1	243946197	245506746	EUR
1	245343444	247344518	EUR
1	247181216	249239466	EUR
2	10133	1781022	EUR
2	1777250	3973779	EUR
2	3926189	5708337	EUR
2	5568205	6836254	EUR
2	6696122	8422147	EUR
2	8282017	10298469	EUR
2	10158342	12419150	EUR
2	12279024	14335308	EUR
2	14195184	16329735	EUR
2	16148467	18647423	EUR
2	18466157	19692404	EUR
2	19492643	21050490	EUR
2	20850730	23341383	EUR
2	23118512	24686918	EUR
2	24464049	26894985	EUR
2	26672117	28598777	EUR
2	28375910	29217559	EUR
2	28994693	30463711	EUR
2	30240845	31550450	EUR
2	31327584	33363777	EUR
2	33138710	35345028	EUR
2	35119962	36122006	EUR
2	35896940	38132712	EUR
2	37905569	39031337	EUR
2	38804195	40281483	EUR
2	40054343	43309590	EUR
2	43082452	44313803	EUR
2	44086664	46482634	EUR
2	46255495	47318772	EUR
2	47091633	48213001	EUR
2	47985862	50022257	EUR
2	49795119	50818928	EUR
2	50591790	52491133	EUR
2	52263995	53508452	EUR
2	53281314	54685226	EUR
2	54458089	56203345	EUR
2	55976210	57429100	EUR
2	57201965	58297315	EUR
2	58070180	60292000	EUR
2	60064865	62429044	EUR
2	62201909	64625913	EUR
2	64398779	65933444	EUR
2	65706310	67226166	EUR
2	66999034	68010176	EUR
2	67783044	69139564	EUR
2	68912432	70755198	EUR
2	70528066	73174848	EUR
2	72947719	75630086	EUR
2	75402960	76913661	EUR
2	76686535	78079264	EUR
2	77852138	80050403	EUR
2	79823277	81620841	EUR
2	81393717	85140680	EUR
2	84913556	88038507	EUR
2	87738988	89154526	EUR
2	88855013	95326452	EUR
2	94660727	98995201	EUR
2	98378738	101822329	EUR
2	101205867	102688765	EUR
2	102072305	103588215	EUR
2	102971757	105125034	EUR
2	104508576	106210058	EUR
2	105593601	107408267	EUR
2	106791811	108429177	EUR
2	107812721	110572432	EUR
2	109814855	113921856	EUR
2	113164279	116772470	EUR
2	116014894	118367466	EUR
2	117609890	121303783	EUR
2	120546207	123302906	EUR
2	122545330	124732250	EUR
2	123974673	125840921	EUR
2	125083344	127373764	EUR
2	126616187	128034347	EUR
2	127276771	129474441	EUR
2	128716867	130067170	EUR
2	129309597	130658085	EUR
2	129900512	133042784	EUR
2	132285211	135158578	EUR
2	134401007	137042794	EUR
2	136285224	138698117	EUR
2	137940547	140100271	EUR
2	139342701	141805351	EUR
2	141047782	142518602	EUR
2	141761033	144519484	EUR
2	143761915	146445570	EUR
2	145688002	147277162	EUR
2	146519594	150210292	EUR
2	149353778	151731462	EUR
2	150874948	152486782	EUR
2	151630268	154005056	EUR
2	153148542	155391135	EUR
2	154534623	157560635	EUR
2	156704123	158533218	EUR
